year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2001,0,2,4,4,6,7,3,0,0,1,3,4,3,2,1,0,3,0
2002,1,0,0,0,0,3,4,2,3,0,1,0,1,1,1,0,0,0
2003,0,2,3,1,15,15,8,9,7,6,6,5,1,4,2,1,2,2
2004,1,4,3,9,19,14,22,14,9,5,6,8,3,4,2,5,0,6
2005,1,3,5,10,8,10,6,10,5,10,4,1,4,6,3,0,3,2
2006,0,0,3,4,9,7,3,5,5,2,4,1,0,2,3,2,2,3
2007,1,9,48,25,30,28,48,48,48,40,32,22,22,22,12,16,4,15
