year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,233,460,1581,2190,2090,8833,6614,809,580,640,154
2008,1313,3443,9343,10723,7143,22858,14774,1746,1243,1379,406
2009,66,177,314,360,310,1277,805,85,73,55,23
2010,303,594,1393,2257,1868,6458,4637,509,423,399,110
2011,2011,6139,11858,17400,14049,42121,25204,3304,2222,2267,729
2012,688,1175,2766,6509,6949,22232,14929,2074,1225,1292,339
2013,1234,2153,4924,10644,14746,54325,37101,4924,2952,3046,847
