year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,0,0,2,1,3,32,27,4,2,0,0
2015,16,45,121,201,334,1600,1025,138,79,72,7
2016,25,57,115,255,393,1643,1281,215,173,217,62
2017,0,0,0,2,4,11,5,1,1,0,0
2018,1,0,2,2,11,28,18,4,1,0,0
2019,11,19,72,96,166,776,570,105,64,48,13
2020,69,188,409,693,906,4837,3407,425,272,178,31
