year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,126,405,696,1231,1578,7250,4006,538,357,421,115
2002,71,279,472,753,1075,4649,2516,340,254,293,82
2003,97,206,390,662,937,3731,2250,289,200,233,85
2004,22,40,73,96,134,608,359,47,33,30,10
2005,39,86,143,248,366,1600,904,106,91,84,39
2006,85,190,277,339,533,2359,1258,154,101,121,31
