year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,0,1,2,3,2,6,3,2,1,0,0,1,0,0,1,0,0
2001,0,1,0,1,4,1,4,3,5,4,1,0,0,0,0,0,0,0
2002,1,4,15,29,32,29,35,27,34,29,24,20,12,7,7,1,1,1
2003,1,6,25,36,58,54,39,50,45,25,27,31,31,17,9,6,2,6
2004,0,3,4,6,6,6,5,5,2,4,2,2,1,0,1,0,0,0
2005,0,0,5,9,7,12,17,10,7,4,2,1,2,4,3,1,0,0
2006,0,1,12,10,23,14,18,22,10,12,14,4,4,4,3,3,2,4
2007,4,23,56,139,182,201,169,144,157,144,129,94,88,67,56,34,25,27
