year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,2,12,38,100,158,157,123,108,121,89,78,70,54,35,30,18,19,27
2001,3,45,110,227,422,343,271,251,246,193,223,175,157,132,99,76,44,55
2002,6,63,142,298,564,494,366,338,310,275,291,229,217,145,102,91,59,56
2003,13,44,113,329,533,443,332,260,245,206,193,198,186,150,100,88,45,48
2004,4,22,40,125,258,242,166,173,111,110,106,89,78,72,44,44,24,23
2005,11,57,163,275,465,396,379,302,249,200,188,191,154,150,110,74,44,51
2006,9,74,175,248,397,332,251,184,177,168,153,113,104,85,54,44,30,32
2007,138,438,841,520,513,451,361,289,267,246,222,222,176,155,122,82,66,68
