year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,0,0,0,0,2,17,11,1,2,0,0
2002,1,3,9,7,13,94,87,6,4,4,0
2003,0,1,1,3,4,19,19,2,1,1,0
2004,0,1,0,0,0,10,3,0,0,0,0
2005,1,0,0,3,1,21,19,1,0,0,0
2006,0,0,1,0,1,29,23,1,4,0,0
