year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,21,58,120,183,183,983,368,43,44,28,3
2002,21,21,60,102,125,334,183,12,11,20,3
2003,15,33,51,58,88,414,230,26,31,17,5
2004,27,93,194,332,511,2275,939,116,78,87,25
2005,7,30,77,141,259,1160,452,49,39,42,22
2006,5,5,15,30,22,118,57,4,4,2,1
