year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,138,396,757,1151,1662,5659,2648,322,232,272,61
2002,93,236,528,805,1122,4364,2154,245,185,179,58
2003,87,237,479,774,1000,3579,1950,217,156,160,42
2004,54,130,246,316,554,2045,1075,113,78,77,12
2005,51,168,372,525,701,2649,1332,141,100,103,36
2006,48,155,269,424,566,1959,1007,126,86,84,34
