year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,1,1,4,1,1,1,1,5,1,1,0,0,0,0,1,0,0
2002,0,1,1,1,1,3,0,1,1,1,1,0,1,1,0,0,0,0
2003,0,1,2,3,2,5,4,2,4,1,4,3,3,0,0,0,2,0
2004,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0
2005,0,2,1,8,13,14,20,29,19,8,5,6,6,7,0,2,2,0
2006,0,1,8,4,7,10,14,11,9,6,6,5,9,8,4,6,3,1
2007,4,4,8,8,5,11,9,6,6,9,3,7,4,5,1,1,2,1
