year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,184,940,1488,2122,2885,12984,7985,1041,692,671,161
2002,98,475,838,1255,1740,7437,4271,613,431,455,134
2003,273,800,1457,2270,2884,11286,6271,920,652,754,188
2004,31,88,186,332,422,1556,881,135,67,111,22
2005,294,1017,1826,2361,3020,9728,5170,620,489,514,182
2006,317,1109,2110,2816,3109,10742,4896,568,433,455,166
