year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,1,1,23,31,85,69,76,54,49,40,47,45,37,28,19,16,15,13
2001,0,20,43,100,179,161,157,130,138,112,116,114,82,97,58,50,47,39
2002,10,63,146,319,476,459,363,315,292,217,248,271,201,187,127,135,110,120
2003,7,41,76,187,353,308,298,226,231,174,171,178,148,132,108,89,85,79
2004,1,14,32,47,97,83,77,67,65,58,33,44,38,36,32,27,16,25
2005,5,22,46,77,157,158,158,117,96,128,97,78,75,76,60,35,29,37
2006,6,21,36,53,122,109,83,81,60,59,52,33,36,33,17,14,15,22
2007,24,97,198,203,218,210,185,155,133,125,114,92,98,71,61,40,35,35
