year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,3,26,48,71,96,462,234,28,18,15,6
2002,24,31,60,109,138,527,326,34,17,19,1
2003,23,60,120,209,309,1362,671,72,45,27,9
2004,22,54,105,215,339,1335,856,79,54,68,13
2005,29,80,183,340,492,2025,1067,107,82,75,19
2006,29,52,113,241,311,1257,752,77,59,68,17
