year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,409,568,1016,1682,2260,7504,4397,568,402,478,169
2015,963,1651,3193,5115,7032,23243,12344,1604,1028,1136,404
2016,504,896,1725,2771,4524,16630,9287,1357,1081,1338,619
2017,363,693,1412,1994,2866,10120,5367,801,661,748,350
2018,50,103,193,251,437,1755,859,100,81,89,34
2019,191,383,910,1266,1699,6446,3424,418,334,368,116
2020,374,658,1308,1759,2029,8825,4760,524,334,370,122
