year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,0,0,0,2,3,15,13,2,1,0,0
2002,3,1,4,15,27,151,117,16,9,6,0
2003,0,0,1,0,0,23,15,3,3,1,0
2004,0,0,0,0,1,10,5,0,1,0,0
2005,0,0,0,0,2,19,16,1,1,0,0
2006,0,2,2,3,3,28,21,1,5,3,0
