year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,4,6,6,16,29,38,26,17,39,19,11,16,15,11,19,9,8,3
2001,5,28,49,61,58,79,58,77,48,44,37,33,36,46,28,24,14,20
2002,9,31,79,118,188,195,200,147,157,139,116,80,81,76,53,55,31,26
2003,7,18,51,88,137,168,158,123,119,88,88,83,70,56,40,33,30,23
2004,5,17,43,66,77,88,90,58,62,56,38,30,24,23,27,10,10,6
2005,2,9,29,47,57,61,57,50,33,42,43,23,19,19,25,12,6,11
2006,3,36,83,133,144,164,144,120,109,117,92,74,62,42,36,46,27,32
2007,6,29,80,139,144,179,142,141,103,106,92,89,69,49,32,38,24,22
