year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,169,526,671,964,1275,5285,2839,352,269,289,99
2002,921,3860,5352,7549,9750,42088,20345,2396,1656,1883,560
2003,244,652,746,1034,1563,5927,2965,418,289,323,112
2004,45,91,146,184,245,777,391,54,45,52,14
2005,63,181,308,417,527,2032,1152,137,109,100,38
2006,129,392,619,731,778,2982,1747,176,138,131,32
