year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,1046,1320,2813,5453,8634,31121,19170,2494,1777,1940,583
2015,1318,1970,4062,7334,10871,41173,27945,3908,2703,3075,989
2016,1213,1937,3591,5657,8422,33992,21056,2752,2011,1989,636
2017,673,1187,1913,3057,4713,18411,11545,1455,1030,1021,370
2018,1029,1671,2925,4743,6721,28608,19069,2689,1825,1902,685
2019,1397,2753,4755,7155,10276,42139,29036,4088,2894,3236,1223
2020,961,1482,2178,2957,4623,23538,16133,2068,1461,1618,584
