year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,1979,3266,7155,14003,19895,79407,57882,8762,6053,6308,1838
2015,6345,11656,25477,46509,64714,256759,196527,32664,23327,26238,8365
2016,1517,3061,5873,9729,14768,64476,47541,7557,5245,5625,1917
2017,128,255,339,432,612,2492,1543,222,136,158,62
2018,160,245,580,821,1149,5834,4493,732,483,508,162
2019,3197,7483,17073,26892,32212,149131,119970,20888,15011,15171,5091
2020,1518,3838,8056,11527,13760,70492,59391,9887,7231,7609,2702
