year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,180,366,813,1600,2066,6936,5588,883,646,679,219
2015,419,632,1433,2880,4160,14719,12321,2004,1503,1618,467
2016,414,933,1796,3454,6052,21241,16753,2738,1898,2054,647
2017,21,29,45,66,89,393,185,28,20,17,15
2018,11,22,50,59,70,328,238,31,24,25,7
2019,397,862,1823,2980,3434,14628,12230,1993,1397,1531,454
2020,2318,5185,10391,15577,19269,84666,67527,11117,8352,9022,3171
