year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,136,234,291,327,324,1449,674,67,56,60,19
2015,370,613,779,956,1132,5405,3256,417,294,382,149
2016,302,462,795,1139,1141,5285,3750,551,524,709,339
2017,34,50,94,133,286,1042,580,61,57,63,29
2018,150,340,514,635,752,2415,1464,204,165,191,76
2019,233,721,1534,1770,1727,4539,2215,291,196,203,71
2020,91,226,282,300,316,1505,780,93,60,65,35
