year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,1,4,12,31,29,144,120,24,6,8,3
2008,0,2,0,1,3,53,24,7,2,0,0
2009,0,0,0,0,4,20,15,1,0,1,0
2010,32,117,156,217,280,1250,936,159,105,185,34
2011,0,1,3,9,26,119,111,17,11,9,1
2012,1,0,1,9,2,45,36,8,5,5,0
2013,0,3,10,16,34,155,142,15,10,7,1
