year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,52,132,185,314,398,1283,650,94,54,65,14
2015,99,156,307,469,603,2407,1374,166,101,94,31
2016,106,179,372,592,725,2780,1515,194,130,164,57
2017,86,196,377,491,542,1996,992,124,88,93,39
2018,52,59,108,162,189,724,397,47,31,22,10
2019,47,95,161,215,247,808,452,68,34,37,10
2020,38,54,110,149,184,814,445,63,40,33,12
