year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,46,77,181,255,447,1393,638,74,55,53,29
2015,118,156,348,583,867,3117,1399,137,97,97,23
2016,102,140,288,501,841,2807,1310,188,107,104,39
2017,72,85,190,314,459,1652,840,73,67,86,50
2018,49,66,120,201,281,966,504,52,36,45,17
2019,200,475,982,1221,1531,4877,2537,283,186,188,73
2020,25,41,102,128,200,806,366,28,33,24,7
