year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,205,268,367,566,718,3011,1404,153,95,89,25
2015,1898,4085,4753,5329,5711,26416,17186,2254,1640,1764,622
2016,745,1656,2391,2857,3214,13812,9170,1485,1151,1620,712
2017,159,391,466,420,672,2115,967,120,110,97,48
2018,178,495,830,711,620,2169,1140,126,85,90,30
2019,523,1076,2441,2523,2419,7658,3989,467,321,385,109
2020,288,404,724,730,838,4303,2554,274,173,213,53
