year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,43,185,347,684,971,4135,2189,234,153,150,43
2002,53,265,503,933,1376,5218,2338,261,169,174,39
2003,18,21,73,131,222,898,526,56,29,28,8
2004,3,1,12,11,27,113,84,13,6,13,2
2005,4,12,15,32,52,254,172,21,20,9,4
2006,65,93,366,771,995,4034,2932,399,282,298,69
