year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,457,1227,1611,1335,1462,5405,2939,367,250,239,69
2008,403,988,1740,1465,1374,5063,2475,286,195,173,53
2009,49,79,158,161,194,743,385,50,31,24,6
2010,623,1590,3683,3897,2517,9419,5148,598,459,455,104
2011,348,836,1443,1582,1325,4633,2676,347,192,204,64
2012,456,957,1578,2482,2542,11096,6075,711,413,368,120
2013,89,176,279,348,492,1998,926,107,58,64,18
