year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,17,49,47,73,75,362,187,25,14,10,8
2008,446,1609,2610,1967,1767,6311,2728,300,202,167,54
2009,9,41,31,37,85,227,83,6,7,7,1
2010,14,19,79,57,49,192,91,9,8,4,1
2011,53,145,301,306,253,856,409,37,26,24,7
2012,62,120,265,430,468,1763,777,59,30,36,12
2013,16,22,26,45,65,255,87,8,8,8,3
