year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,123,176,350,472,628,2614,1509,171,143,119,45
2008,338,718,1443,1753,1811,7120,3948,522,390,395,117
2009,1351,4047,7145,7247,6576,23244,12056,1470,1134,1194,387
2010,530,1189,2565,3372,3198,10485,5660,718,581,621,156
2011,402,877,1823,2506,2713,9715,4996,625,434,419,129
2012,608,1041,2062,3058,3502,12484,6722,764,522,458,187
2013,591,1149,2054,3473,4575,16491,8671,1127,807,787,271
