year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,3,10,40,44,50,230,101,14,5,7,1
2008,15,35,126,170,157,744,328,33,18,35,9
2009,112,719,1218,1377,1619,7787,3599,422,317,246,53
2010,411,1469,2334,2976,3384,14600,6401,710,491,873,246
2011,160,734,1440,1572,2064,7977,3442,420,249,334,116
2012,26,35,100,167,219,978,559,49,46,34,19
2013,14,58,120,176,249,997,544,72,35,51,13
