year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,154,278,410,699,866,3722,1813,204,136,153,53
2015,387,678,1148,1689,2186,9776,6355,829,558,657,224
2016,462,633,1125,1838,3025,11592,7905,1283,1012,1377,745
2017,52,146,197,301,388,1470,725,105,97,121,61
2018,81,150,306,405,573,2048,1265,166,134,97,36
2019,745,1256,3035,3540,4253,13738,7184,980,668,713,220
2020,652,1202,2338,2815,3188,12299,7735,1010,689,878,355
