year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,5,20,46,59,46,245,155,13,7,10,0
2008,63,129,253,334,350,1552,796,71,55,67,15
2009,45,102,201,239,316,1344,673,90,39,53,14
2010,92,290,452,656,799,2634,1357,156,90,199,28
2011,12,35,45,69,136,525,265,30,18,33,4
2012,29,51,92,157,209,751,375,47,27,24,4
2013,29,50,51,77,109,317,185,20,17,9,4
