year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,70,285,691,1497,2245,9759,6076,816,536,450,162
2002,191,517,1343,2630,3721,15106,8720,1007,758,646,179
2003,92,152,425,954,1387,5427,3506,438,295,327,72
2004,46,174,511,1017,1459,5421,3326,421,303,314,61
2005,43,119,343,763,1157,4562,2968,341,267,270,58
2006,128,327,1017,2072,2826,11283,7799,944,737,776,208
