year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,73,516,1499,3537,4654,21181,16210,2201,1588,1419,191
2002,203,533,1302,2764,4463,18976,11802,1448,991,981,194
2003,81,145,471,980,1276,6412,4601,611,424,417,83
2004,21,27,112,216,272,1234,914,125,50,69,12
2005,49,94,238,414,454,2209,2031,247,182,185,38
2006,300,743,2143,3756,5307,23491,16826,2268,1730,1806,357
