year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,1,2,10,27,58,54,56,63,54,46,39,35,33,34,21,13,9,17
2001,5,22,44,115,272,286,282,277,260,213,188,157,132,127,102,92,63,59
2002,8,44,83,210,365,382,354,374,330,267,248,231,199,173,142,117,107,114
2003,7,53,121,215,354,334,330,282,276,210,194,181,151,126,111,77,76,79
2004,7,28,40,62,109,89,95,81,83,53,47,49,43,44,31,25,33,19
2005,4,17,39,67,122,118,107,76,92,79,65,61,50,43,30,26,22,28
2006,2,21,52,51,89,79,68,66,70,50,50,39,34,28,21,11,18,18
2007,27,96,174,126,107,111,97,93,59,80,53,46,41,25,15,18,20,23
