year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,43,212,376,569,753,2822,1547,239,183,215,63
2002,73,302,462,772,1136,3985,2133,352,244,295,525
2003,68,221,397,716,1059,3640,2076,313,235,257,254
2004,20,27,36,54,78,287,144,17,9,11,5
2005,51,129,224,364,465,1725,1090,137,123,114,36
2006,45,55,93,131,165,712,371,49,44,37,8
