year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,147,359,769,1358,1589,6243,3476,369,231,238,48
2008,68,175,312,481,569,2330,1309,150,107,104,14
2009,1058,2891,4780,5494,4895,17810,9616,977,694,813,159
2010,605,1722,2845,3391,3633,13422,7353,805,606,658,203
2011,105,211,270,308,404,1610,965,130,75,84,28
2012,500,879,1784,2825,3259,11486,6432,708,471,507,142
2013,434,930,1602,2360,3414,12770,7383,756,510,569,174
