year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,135,351,627,845,1078,4115,1804,171,123,93,32
2008,217,610,1064,947,928,3102,1304,143,72,77,23
2009,47,136,193,352,304,1339,442,63,25,28,6
2010,790,2768,4349,4763,4686,12845,5740,593,418,370,145
2011,134,270,516,645,875,2756,981,97,78,74,66
2012,389,761,1187,2292,3286,11380,5023,484,292,301,100
2013,159,464,671,852,1282,4119,1548,153,116,112,55
