year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,126,226,364,498,549,2054,1276,166,120,146,52
2008,133,245,417,395,397,1321,740,93,75,77,35
2009,23,38,31,43,59,176,86,21,10,8,4
2010,125,235,384,445,452,1566,912,97,79,93,36
2011,178,484,706,919,813,2872,1617,218,150,162,51
2012,140,187,352,611,649,3011,1491,168,90,99,25
2013,206,332,427,705,936,3679,1776,231,150,164,65
