year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2001,0,2,1,0,4,1,4,3,2,4,3,1,1,1,0,0,0,0
2002,0,1,1,2,9,14,10,20,19,12,7,7,5,1,4,1,0,1
2003,0,1,2,12,8,11,17,11,10,11,4,4,4,3,2,1,0,0
2004,0,1,3,3,6,9,9,7,2,4,4,0,1,0,0,1,0,0
2005,0,0,1,4,5,9,12,14,9,4,8,4,0,1,1,1,0,0
2006,0,0,1,8,12,9,12,9,10,5,10,4,4,3,1,1,0,0
2007,0,0,2,1,13,13,25,21,15,13,10,11,7,2,3,1,1,0
