year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,84,177,145,266,361,1346,774,107,69,72,29
2015,547,899,1826,3250,4068,14629,11007,1743,1114,1157,357
2016,600,942,1916,2874,3522,14710,10715,1701,1263,1283,482
2017,125,197,343,504,736,2624,1527,222,166,155,57
2018,94,171,406,605,735,3270,2239,400,254,253,92
2019,247,545,1160,1623,2061,9313,6896,1112,809,696,285
2020,53,97,133,147,179,1016,605,65,42,46,15
