year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,27,71,106,144,151,598,388,45,31,47,10
2015,40,52,107,125,188,676,493,50,34,57,13
2016,109,188,269,370,480,2030,1317,135,102,94,39
2017,38,83,116,120,174,682,445,63,36,45,18
2018,12,35,46,30,49,186,111,18,11,13,4
2019,24,40,48,56,89,310,228,29,19,27,12
2020,77,134,224,242,250,1297,989,104,82,69,23
