year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,1,2,2,2,5,3,3,4,3,3,0,4,0,1,0,1,0
2001,8,21,38,60,94,150,114,104,130,97,70,70,43,28,24,20,19,16
2002,77,480,810,769,729,886,783,737,730,650,492,440,306,217,206,172,111,126
2003,5,32,55,87,107,117,112,91,99,77,56,45,31,37,22,10,8,8
2004,1,7,11,16,17,26,12,11,13,12,8,7,8,3,4,3,6,1
2005,0,4,15,12,14,14,20,18,10,15,7,9,5,0,6,1,0,1
2006,5,20,63,98,90,98,93,63,71,57,47,38,31,20,16,15,6,3
2007,28,91,369,412,275,288,298,205,203,191,155,146,109,93,55,48,40,28
