year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,0,2,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0
2001,2,1,4,10,20,23,21,23,16,17,15,10,6,7,6,8,0,3
2002,0,0,2,2,3,4,7,3,4,2,2,1,1,1,0,0,0,0
2003,0,0,2,4,8,9,6,7,4,4,7,5,1,3,1,2,0,2
2004,0,7,9,12,8,17,13,14,14,17,8,7,4,1,5,1,0,2
2005,0,5,6,7,11,19,11,5,12,8,5,5,4,2,2,0,3,2
2006,0,1,9,8,5,11,8,6,6,1,1,0,0,0,2,2,0,1
2007,1,4,4,10,3,7,5,3,3,3,1,2,1,2,1,0,0,0
