year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,171,290,886,1991,2549,9546,7491,1259,862,884,196
2008,14,59,66,81,108,344,247,23,25,22,3
2009,11,38,65,67,103,324,286,26,11,21,4
2010,305,659,1400,3199,3614,12761,9215,1253,809,873,214
2011,185,672,1319,2608,3073,10485,7417,1125,820,857,241
2012,37,62,141,284,397,1362,1039,150,95,100,27
2013,446,985,2154,4460,6112,20645,16859,2548,1965,2290,722
