year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,23,41,106,177,298,1194,704,87,47,61,13
2002,71,95,190,339,483,2159,1125,117,73,73,16
2003,61,95,183,336,466,2184,1047,108,98,84,38
2004,3,7,15,22,49,201,77,7,7,6,3
2005,7,17,25,46,70,264,171,14,10,10,1
2006,12,23,69,101,111,462,245,22,17,16,5
