year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,290,586,859,795,962,3243,1915,254,179,203,70
2008,65,161,202,171,176,790,405,55,29,19,10
2009,72,124,225,312,359,1345,726,137,87,88,32
2010,145,224,459,543,593,2080,1265,164,173,136,32
2011,174,369,746,917,1029,3585,1755,190,139,203,66
2012,181,228,475,790,1188,4488,2068,270,185,207,68
2013,64,129,213,287,417,1691,812,115,59,93,33
