year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,22,31,42,92,127,340,206,20,15,21,2
2015,71,97,190,300,379,1191,710,82,60,58,21
2016,33,61,97,130,178,771,448,37,27,21,3
2017,25,40,50,77,84,372,199,24,12,22,7
2018,20,23,51,62,68,259,203,33,17,14,4
2019,13,12,15,15,21,62,33,5,8,3,2
2020,4,9,5,1,4,5,8,1,2,2,1
