AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
30.636139832594782,33.44866666666667,33.75453593859037,29.745652403035415,32.075675675675676,33.62003097573567,33.28211009174312,33.24807774455361,32.111566681053084,32.12893248497702,33.076984763432236,32.82631173688263,34.85273132664437,30.880259877615774,32.93468889208219,36.01521739130435,31.916290845794762,32.81509924385633,34.050679714214226,33.513848747591524,38.05555555555556,32.624375624375624,31.955674370472575,39.166666666666664,36.60486402662733,33.80642804967129,32.540211297973265
29.413385826771652,30.764203584714238,31.60587431693989,31.67212369258754,31.798285772419757,33.616448078124115,31.97536087605774,32.73494188094399,29.78931019180514,32.18757467144564,30.799154459926164,31.40358724534987,33.529951788446546,31.707900312783774,32.88215091244618,34.489860800824886,31.31328810020877,32.885725229826356,33.08657199547637,33.47762100541955,37.627507163323784,32.01556420233463,32.111570247933884,37.31140350877193,34.84493707291259,32.41703703703703,31.70099580712788
32.88317757009346,32.27315256826427,32.9996114996115,28.757036847492323,32.77155212283785,32.73838284905866,35.208941605839414,33.16964690299418,30.98894736842105,30.98194259646455,30.80226141527808,33.43631368631369,34.59274782742444,31.541208473202918,33.272879091516366,33.41121365943701,31.344396582162275,33.64600960439058,34.84261658031088,33.5443579766537,41.57608695652174,32.12008281573499,30.92429470265882,37.36274509803921,36.261544947464,32.513513513513516,30.59738846572361
32.046431642304384,31.787842669845055,33.42430662557781,25.25,32.29655963302752,32.875951693357834,35.07142857142857,34.086076318089134,31.950908423563956,32.84438377535101,31.016418563922944,37.0565371024735,34.01073737684729,31.80663395904437,30.316251830161054,35.61711711711712,30.123399014778325,34.63617606602476,32.84154929577465,33.16816920943135,37.35294117647059,33.93444195714743,28.836823734729492,32.357142857142854,35.353289473684214,31.74492385786802,31.544867437117606
32.45168439716312,31.51954602774275,33.34119106699752,28.88185443668993,32.81513222331048,30.348775909581054,34.857142857142854,33.08484504913076,31.560908382767092,31.796590317542947,32.242140266021764,35.56345177664975,34.854703221637585,31.17990882448714,33.11736770691994,35.17825223435948,31.695085555113412,35.11658291457287,31.917391304347827,33.575811289882736,39.35897435897436,32.68627232142857,29.853353792196405,36.91304347826087,36.80632475831558,32.82649842271293,31.313212927756656
30.34351145038168,31.06307746979389,32.29184038117927,23.784013605442176,33.489904850313295,29.178327998493693,37.32947976878613,34.53117326785524,31.97048895972997,28.54483656349436,32.01714186771326,35.56902784562775,35.09315991257301,31.077794242167656,31.80229142185664,35.346020761245676,30.114470152115558,32.70800106326422,33.801766731546635,32.387391545135685,38.61764705882353,33.348428523149714,30.628664495114005,40.29661016949152,35.9479013191708,31.196660482374767,31.646853771898463
30.642857142857142,29.42255405694712,32.67165668662675,18.8860153256705,32.23465503568596,29.435478108353905,35.11572052401747,35.21546961325967,31.870045761265803,26.979727939227985,31.75421205764937,34.064958949096884,34.44778852661332,29.36888555065252,31.520090497737556,36.299047398665586,27.79897985874967,29.22038552659918,33.737265917603,30.79179454046196,36.470976253298154,33.22988785958069,31.493399339933994,41.54867256637168,35.67827398391946,30.5011641443539,30.335577315381478
30.43497892835641,25.499586483931946,29.26864244741874,21.044872677219544,30.71512636945439,26.636389933468326,35.041666666666664,33.08577341376426,32.559325471109446,26.622774236095847,31.867350579839428,33.250425894378196,32.98452863659402,29.314148782763592,28.023118417672745,31.37158746208291,26.7070682107047,27.98745779064158,27.86440208206584,27.498096814232518,37.32065217391305,33.9862871927555,30.55885558583106,35.094339622641506,35.13847934689899,24.895068205666316,29.952173913043477
30.815083830960038,27.857289177193582,29.651453957996768,28.25796178343949,27.95676249541733,25.894056001309973,36.30793991416309,32.03199662852141,33.12338452431846,27.604141291108405,28.215958227951376,30.858356713426854,32.712465391391895,31.005833646970267,28.475757575757576,32.783088235294116,29.568569903948774,31.644028776978416,30.030948324815444,26.857142857142858,37.98780487804878,31.701903052064633,31.12701482914249,39.233333333333334,35.49755188930282,27.4718574108818,29.477533960292583
30.30045469404737,25.406904774663737,30.068577494692143,27.764809478065963,29.371762509077076,28.77264667956157,32.191413681859544,32.91286411430296,34.3957214501428,23.863890081580077,29.78448915525114,32.922304702610106,33.6333602619159,30.056300055507098,29.186417502278942,33.96611710865994,27.04979041177921,30.980543064683502,31.270288201263202,30.222606120434353,36.17966249636311,31.073656032674688,30.350706319702603,39.545731707317074,34.951217204843594,26.703065134099617,29.84148028591192
29.815653545019575,27.50225645813881,30.21289710763395,27.19686350401869,30.042411260709915,28.118939704858942,36.03593272171254,32.41520402637531,33.32105959590819,26.42447851218899,31.15521383950024,32.41135781383433,34.00976900708988,29.544031311154598,29.001231678778176,34.092503763873815,27.911416163697925,29.432469528933787,28.615879913095004,28.248734916309846,39.84640522875817,30.885802469135804,32.75342465753425,37.812,35.45315320097675,26.128215767634856,29.138078525992544
32.89448712155445,30.030320929316794,32.56273199703044,26.969125214408233,30.311553121296562,30.42272287758654,36.58680057388809,30.67426539788769,32.10970464135021,27.881968641114984,30.808620151814495,33.29532460932537,32.52112423202745,30.91372857249794,31.06001765225066,34.86692118898282,30.998912961991152,31.540625,32.59089389862798,31.3491890205864,40.339285714285715,31.84392523364486,30.827185017026107,39.651898734177216,36.06882050464384,28.95162094763092,30.677557603686637
32.571675302245254,28.108009708737864,30.931759379042692,28.614147286821705,31.588105726872246,30.751430462029504,34.07772020725388,32.77180270130542,33.53809955839272,24.99230769230769,31.92095157511065,34.33602051187286,33.54323870943185,30.002601456815817,30.853648617243785,36.05604303503011,30.25512453162883,31.540335051546393,34.21834045086697,33.249882042087386,37.669642857142854,33.260635736073205,29.223958333333332,40.568592057761734,35.509549105166634,28.905555555555555,31.395225806451613
29.534087123875793,30.291517055655298,30.708515283842793,30.571116255144034,31.24997036158862,31.816972619788427,33.28523784447955,33.03965205603254,33.76478856509344,25.97570093457944,30.499257303185345,31.50542258788332,35.036543597480176,30.3949488689185,28.288419016030957,35.46277268816116,30.02894124490983,30.611494252873563,31.498970890914435,31.267627816816088,36.68674698795181,31.861940298507463,26.596,39.08450704225352,35.62728982462996,28.632075471698112,30.638086362224293
28.732853429314137,30.111765046967413,30.876035691523263,31.858416945373467,33.79580018958909,31.1593205255719,34.465046604527295,33.62786921427671,34.57985415728399,31.284615384615385,31.465895737634867,33.33130968327356,34.6285080280766,31.923043628808863,32.279770655689504,36.636175010194535,31.6890238752182,32.241827521793276,34.508151093439366,32.74422135987852,41.06769596199525,33.18111964873765,30.94923076923077,35.25626549160011,36.30185043522607,33.12891514806378,30.559618441971384
30.264792899408285,33.15773032819296,31.562396006655575,31.626997716894977,35.74185177839482,33.6814748335951,34.079720716965404,33.82674511901578,33.65922294843863,31.6101192796445,32.00630367760405,33.34979851019661,34.45439743580798,31.93984016575403,34.84356665302224,36.51877627195507,33.59742526442876,32.49407449209932,34.91109649344735,33.54173984915797,38.20183673469388,32.34854731056144,28.20360824742268,37.915180612711474,36.2387328286737,31.501551189245088,31.32334063869756
32.08930778739184,31.90662108672184,30.950276243093924,30.357142857142858,31.934758467518044,32.39402597402597,31.697349042709867,32.595134286710845,33.45300522164204,30.161852861035424,32.15525974790906,31.157942238267147,33.72214548802947,29.935005015045135,33.41020833333334,31.615341545352745,28.232282037339132,33.99604885057471,32.45658433095924,30.14174857734092,39.1,32.26165371809101,19.72051282051282,33.541666666666664,32.65735317397499,27.57849829351536,31.466519020323084
30.914354946524064,29.521718602455145,32.80866666666667,29.186427457098283,32.39435406698565,32.30193976518632,30.883447228549734,32.44193175245807,34.41825180523166,29.684684684684683,31.24074074074074,33.95754446356856,34.21611644783758,30.48324958123953,30.733528550512446,34.47727272727273,26.376319056486654,32.685148514851484,35.030259878960486,25.40169798310636,40.8,30.64774951076321,22.139423076923077,34.1865671641791,36.7649116961013,28.016129032258064,30.942887931034484
31.955707246971873,28.09543795620438,28.328877005347593,30.777177582714383,29.816556823216658,32.02778677375478,33.64877776175368,34.73180382405323,34.562675788320696,25.639225469232596,30.35697856769472,32.64010512725931,34.0235638201478,29.891866913123845,26.784905800878697,36.288964264082374,27.7308045133474,29.8094572731284,35.45544109230644,33.09707756092628,37.276831976313844,32.83850574712644,25.886578449905482,36.829268292682926,36.80570501292294,21.37631533551837,29.523036858974358
33.84398239490059,28.589034888989577,25.524390243902438,31.729436229205177,31.81268670365177,31.290817057447114,36.339397569314464,36.496579734929455,35.09591539662218,29.298661461238147,30.658618602461498,34.27962523719165,34.41953837531208,32.057512953367876,29.85637439483593,36.320682534786485,31.629701933149224,31.402580305423907,32.46433067561897,32.702419882276,37.804704899777285,33.186418685121104,24.48678861788618,35.30534082923401,37.342262905503624,31.83251633986928,30.951511694238448
