year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,31,198,336,629,1071,3678,1876,263,162,220,55
2002,28,139,288,545,995,3526,1783,217,143,168,49
2003,83,123,298,616,1070,3791,2026,300,201,238,60
2004,9,12,31,43,87,285,185,30,27,18,7
2005,38,65,148,263,472,1539,1022,155,122,156,51
2006,59,116,227,281,370,1505,880,137,101,86,30
