year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,671,1452,3636,6946,10096,41538,29443,4068,3025,3226,718
2008,82,146,323,605,698,3228,2410,295,210,210,47
2009,80,134,342,707,796,3715,2753,338,300,230,55
2010,1582,3444,7571,14407,17577,75597,51977,7324,5245,5548,1658
2011,875,1830,3653,7192,8438,35635,26930,3922,2781,2934,765
2012,204,328,790,1692,2211,9993,7346,1019,743,761,205
2013,1666,3184,7170,14653,19869,80252,58406,8558,5857,5954,1737
