year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,39,50,111,206,295,1401,681,50,34,32,11
2002,21,29,65,99,95,546,287,26,18,24,4
2003,92,146,238,330,538,2337,1014,88,74,70,17
2004,19,23,45,43,60,247,118,7,7,4,3
2005,30,71,126,214,248,1049,467,34,25,17,10
2006,12,41,52,83,87,398,205,15,13,15,1
