year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,2,6,8,39,65,61,68,53,26,37,30,24,18,19,15,6,7,10
2001,0,0,12,34,71,90,88,64,67,43,39,30,20,15,14,15,12,14
2002,0,10,43,71,94,127,116,98,81,64,53,51,52,33,31,18,4,24
2003,4,16,52,136,179,190,159,128,141,113,88,55,53,55,34,22,26,23
2004,0,7,8,16,32,40,35,31,14,12,15,11,10,5,7,6,1,6
2005,1,7,8,14,15,31,22,14,13,11,8,8,7,5,3,4,7,2
2006,1,2,14,19,43,21,19,22,16,16,21,11,7,5,8,4,0,2
2007,1,4,7,16,17,20,20,20,21,11,7,4,4,4,1,3,2,3
