year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,16,32,51,69,76,300,160,12,8,16,7
2015,22,78,120,165,123,643,366,56,32,40,19
2016,5,7,10,22,24,92,43,5,6,8,0
2017,6,8,5,14,9,49,23,2,3,0,0
2018,4,9,43,55,90,238,98,11,9,8,2
2019,286,455,1079,1060,1319,4126,1760,227,146,181,35
2020,105,115,203,202,198,1208,813,116,78,92,46
