year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,136,369,737,1085,1465,5417,2439,222,180,205,51
2008,107,306,673,770,897,3370,1716,187,130,124,36
2009,64,156,263,382,402,1644,725,86,45,61,12
2010,109,281,633,860,1020,3634,1646,199,141,151,42
2011,119,363,664,831,1133,3967,1594,152,133,162,38
2012,149,269,532,921,1335,4941,2157,215,165,166,52
2013,81,170,415,629,946,3425,1607,205,144,128,43
