year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,78,284,400,595,910,3494,1805,260,137,177,32
2002,127,673,968,1560,2257,8492,4296,524,357,405,112
2003,220,513,911,1604,2439,9369,5000,632,433,501,173
2004,22,51,85,185,236,974,476,70,41,40,21
2005,119,211,478,807,1126,4303,2400,311,224,231,70
2006,63,128,200,329,397,1766,1034,155,108,129,31
