year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80,code
2013,591,1149,2054,3473,4575,16491,8671,1127,807,787,271,BA
2014,154,278,410,699,866,3722,1813,204,136,153,53,BA
2015,387,678,1148,1689,2186,9776,6355,829,558,657,224,BA
2016,462,633,1125,1838,3025,11592,7905,1283,1012,1377,745,BA
2017,52,146,197,301,388,1470,725,105,97,121,61,BA
2018,81,150,306,405,573,2048,1265,166,134,97,36,BA
2019,745,1256,3035,3540,4253,13738,7184,980,668,713,220,BA
2020,652,1202,2338,2815,3188,12299,7735,1010,689,878,355,BA
2001,184,940,1488,2122,2885,12984,7985,1041,692,671,161,CE
2002,98,475,838,1255,1740,7437,4271,613,431,455,134,CE
2003,273,800,1457,2270,2884,11286,6271,920,652,754,188,CE
2004,31,88,186,332,422,1556,881,135,67,111,22,CE
2005,294,1017,1826,2361,3020,9728,5170,620,489,514,182,CE
2006,317,1109,2110,2816,3109,10742,4896,568,433,455,166,CE
2007,943,1416,2431,2998,3431,11526,5944,784,642,673,230,CE
2008,1673,2884,5091,5207,4498,15589,7875,834,627,663,313,CE
2009,190,465,637,804,648,2147,922,118,81,95,33,CE
2010,370,898,1716,2112,2294,6516,3463,498,321,424,113,CE
2011,969,3443,5029,5991,6547,21030,9948,1231,852,1001,384,CE
2012,693,1610,3015,5035,5952,21945,10753,1233,712,762,261,CE
2013,418,797,1530,2342,3014,10648,5415,607,425,495,167,CE
2014,409,568,1016,1682,2260,7504,4397,568,402,478,169,CE
2015,963,1651,3193,5115,7032,23243,12344,1604,1028,1136,404,CE
2016,504,896,1725,2771,4524,16630,9287,1357,1081,1338,619,CE
2017,363,693,1412,1994,2866,10120,5367,801,661,748,350,CE
2018,50,103,193,251,437,1755,859,100,81,89,34,CE
2019,191,383,910,1266,1699,6446,3424,418,334,368,116,CE
2020,374,658,1308,1759,2029,8825,4760,524,334,370,122,CE
2001,3,27,32,60,95,547,277,23,14,12,2,DF
2002,19,38,54,122,250,1009,416,47,33,21,2,DF
2003,5,4,20,28,41,254,154,23,16,3,1,DF
2004,3,2,1,10,14,81,57,3,2,2,0,DF
2005,6,7,7,13,19,135,77,13,4,6,0,DF
2006,5,2,5,18,22,148,115,15,9,7,1,DF
2007,7,7,27,36,58,306,191,26,13,16,2,DF
2008,9,9,12,23,51,229,139,20,12,12,4,DF
2009,4,5,17,24,35,202,131,14,23,11,2,DF
2010,123,201,510,1043,1356,5403,2710,305,213,225,41,DF
2011,6,19,39,98,119,503,402,50,32,40,7,DF
2012,4,8,18,41,53,294,211,36,16,16,2,DF
