year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80,code
2006,12,41,52,83,87,398,205,15,13,15,1,RR
2007,5,20,46,59,46,245,155,13,7,10,0,RR
2008,63,129,253,334,350,1552,796,71,55,67,15,RR
2009,45,102,201,239,316,1344,673,90,39,53,14,RR
2010,92,290,452,656,799,2634,1357,156,90,199,28,RR
2011,12,35,45,69,136,525,265,30,18,33,4,RR
2012,29,51,92,157,209,751,375,47,27,24,4,RR
2013,29,50,51,77,109,317,185,20,17,9,4,RR
2014,57,71,73,77,96,306,143,24,12,16,3,RR
2015,17,44,67,81,97,378,239,21,14,17,3,RR
2016,9,4,13,19,31,74,35,3,4,2,1,RR
2017,14,22,36,41,14,37,26,2,2,1,1,RR
2018,13,7,11,12,12,33,14,0,1,1,1,RR
2019,37,102,165,243,190,525,259,28,19,19,3,RR
2020,18,42,71,62,49,153,81,5,4,7,2,RR
2001,0,0,0,0,2,17,11,1,2,0,0,SC
2002,1,3,9,7,13,94,87,6,4,4,0,SC
2003,0,1,1,3,4,19,19,2,1,1,0,SC
2004,0,1,0,0,0,10,3,0,0,0,0,SC
2005,1,0,0,3,1,21,19,1,0,0,0,SC
2006,0,0,1,0,1,29,23,1,4,0,0,SC
2007,0,0,1,3,3,46,47,5,6,2,1,SC
2008,0,0,0,2,1,35,14,0,1,0,0,SC
2009,0,1,1,1,1,19,19,1,1,1,0,SC
2010,1,0,1,3,10,70,65,9,3,2,0,SC
2011,2,1,2,0,7,66,33,7,1,6,0,SC
2012,0,0,0,1,6,35,30,3,3,1,0,SC
2013,0,0,4,6,13,109,121,16,2,6,0,SC
2014,0,0,2,1,3,32,27,4,2,0,0,SC
2015,16,45,121,201,334,1600,1025,138,79,72,7,SC
2016,25,57,115,255,393,1643,1281,215,173,217,62,SC
2017,0,0,0,2,4,11,5,1,1,0,0,SC
2018,1,0,2,2,11,28,18,4,1,0,0,SC
2019,11,19,72,96,166,776,570,105,64,48,13,SC
2020,69,188,409,693,906,4837,3407,425,272,178,31,SC
2001,73,516,1499,3537,4654,21181,16210,2201,1588,1419,191,SP
2002,203,533,1302,2764,4463,18976,11802,1448,991,981,194,SP
2003,81,145,471,980,1276,6412,4601,611,424,417,83,SP
2004,21,27,112,216,272,1234,914,125,50,69,12,SP
2005,49,94,238,414,454,2209,2031,247,182,185,38,SP
2006,300,743,2143,3756,5307,23491,16826,2268,1730,1806,357,SP
2007,671,1452,3636,6946,10096,41538,29443,4068,3025,3226,718,SP
2008,82,146,323,605,698,3228,2410,295,210,210,47,SP
2009,80,134,342,707,796,3715,2753,338,300,230,55,SP
2010,1582,3444,7571,14407,17577,75597,51977,7324,5245,5548,1658,SP
2011,875,1830,3653,7192,8438,35635,26930,3922,2781,2934,765,SP
2012,204,328,790,1692,2211,9993,7346,1019,743,761,205,SP
2013,1666,3184,7170,14653,19869,80252,58406,8558,5857,5954,1737,SP
2014,1979,3266,7155,14003,19895,79407,57882,8762,6053,6308,1838,SP
2015,6345,11656,25477,46509,64714,256759,196527,32664,23327,26238,8365,SP
2016,1517,3061,5873,9729,14768,64476,47541,7557,5245,5625,1917,SP
2017,128,255,339,432,612,2492,1543,222,136,158,62,SP
2018,160,245,580,821,1149,5834,4493,732,483,508,162,SP
2019,3197,7483,17073,26892,32212,149131,119970,20888,15011,15171,5091,SP
2020,1518,3838,8056,11527,13760,70492,59391,9887,7231,7609,2702,SP
2001,23,41,106,177,298,1194,704,87,47,61,13,SE
2002,71,95,190,339,483,2159,1125,117,73,73,16,SE
2003,61,95,183,336,466,2184,1047,108,98,84,38,SE
2004,3,7,15,22,49,201,77,7,7,6,3,SE
2005,7,17,25,46,70,264,171,14,10,10,1,SE
2006,12,23,69,101,111,462,245,22,17,16,5,SE
2007,17,49,47,73,75,362,187,25,14,10,8,SE
2008,446,1609,2610,1967,1767,6311,2728,300,202,167,54,SE
2009,9,41,31,37,85,227,83,6,7,7,1,SE
2010,14,19,79,57,49,192,91,9,8,4,1,SE
2011,53,145,301,306,253,856,409,37,26,24,7,SE
2012,62,120,265,430,468,1763,777,59,30,36,12,SE
2013,16,22,26,45,65,255,87,8,8,8,3,SE
2014,29,86,159,190,246,908,373,34,17,25,8,SE
2015,145,195,391,487,598,2908,1728,224,158,190,69,SE
2016,34,74,149,162,198,746,399,52,67,53,29,SE
2017,2,14,24,20,42,141,43,2,1,4,6,SE
2018,8,9,13,24,18,68,40,0,3,3,0,SE
2019,175,447,1166,1091,645,1408,673,84,56,52,19,SE
2020,29,65,152,147,114,768,440,46,37,38,10,SE
2001,42,121,184,350,469,2108,1066,130,92,76,25,TO
2002,15,51,97,162,223,819,425,50,30,36,6,TO
2003,18,38,98,175,225,829,359,45,27,24,6,TO
2004,6,29,101,132,174,617,313,43,25,31,6,TO
2005,14,70,148,272,358,1482,654,63,52,43,13,TO
2006,33,102,283,471,665,2517,1218,128,83,94,19,TO
2007,136,369,737,1085,1465,5417,2439,222,180,205,51,TO
2008,107,306,673,770,897,3370,1716,187,130,124,36,TO
2009,64,156,263,382,402,1644,725,86,45,61,12,TO
2010,109,281,633,860,1020,3634,1646,199,141,151,42,TO
2011,119,363,664,831,1133,3967,1594,152,133,162,38,TO
2012,149,269,532,921,1335,4941,2157,215,165,166,52,TO
2013,81,170,415,629,946,3425,1607,205,144,128,43,TO
2014,46,77,181,255,447,1393,638,74,55,53,29,TO
2015,118,156,348,583,867,3117,1399,137,97,97,23,TO
2016,102,140,288,501,841,2807,1310,188,107,104,39,TO
2017,72,85,190,314,459,1652,840,73,67,86,50,TO
2018,49,66,120,201,281,966,504,52,36,45,17,TO
2019,200,475,982,1221,1531,4877,2537,283,186,188,73,TO
2020,25,41,102,128,200,806,366,28,33,24,7,TO
