year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,2,15,47,75,125,575,432,45,38,26,5
2002,14,54,202,436,583,2479,1675,166,118,92,18
2003,104,222,493,906,1166,4351,2712,341,277,263,83
2004,0,2,3,9,6,49,36,1,0,5,0
2005,2,12,30,71,91,433,289,36,31,12,1
2006,5,10,41,76,117,482,320,47,30,28,2
