year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,153,260,819,1900,2790,10486,6724,801,543,643,161
2008,455,799,1920,3458,4296,15738,9751,1211,885,947,272
2009,480,969,2394,4287,5073,19321,11813,1391,958,990,247
2010,1760,3253,7458,15979,20889,75608,48210,6125,4065,4805,1303
2011,303,536,1285,2453,3368,12074,7904,1058,741,885,274
2012,397,512,1109,2087,2834,10392,5991,725,481,538,181
2013,2617,5504,12203,27972,43648,157664,91170,11575,7507,7947,2453
