year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80,code
2008,5,8,22,23,29,26,32,23,27,21,16,9,14,5,5,1,3,6,PR
2009,2,6,13,14,22,15,13,14,10,8,10,9,7,1,3,3,1,1,PR
2010,11,51,93,193,188,213,183,171,186,170,134,118,115,85,80,62,43,32,PR
2011,24,68,150,194,163,168,158,139,108,136,113,101,74,73,51,41,27,37,PR
2012,3,16,15,31,28,33,41,36,21,21,24,16,9,9,7,2,4,4,PR
2013,35,53,120,255,334,295,252,250,236,221,219,230,173,151,154,137,98,111,PR
2014,23,37,86,150,193,156,144,138,125,129,132,121,106,81,90,66,40,51,PR
2015,28,71,119,187,277,249,222,220,181,221,185,186,175,169,120,116,80,82,PR
2016,41,87,132,154,223,203,203,183,185,178,170,162,150,159,115,85,85,89,PR
2017,7,8,29,22,43,31,35,30,24,21,15,11,10,16,2,9,5,6,PR
2018,1,5,13,15,21,26,13,15,23,16,18,16,7,8,7,5,2,0,PR
2019,21,48,69,97,125,135,146,137,132,126,130,128,107,111,95,60,50,70,PR
2020,85,136,249,367,391,548,539,467,473,510,509,537,524,507,504,398,360,428,PR
2000,1,6,11,31,51,69,55,46,42,25,34,29,40,34,18,15,19,20,PE
2001,4,16,43,53,77,90,99,77,67,53,42,34,34,45,29,28,20,25,PE
2002,23,139,198,201,240,296,228,217,204,185,116,134,128,101,100,75,78,60,PE
2003,15,92,64,86,141,147,133,108,89,73,62,58,55,72,42,33,34,34,PE
2004,4,21,20,23,61,48,40,40,32,20,17,15,24,15,18,12,6,15,PE
2005,3,20,40,30,42,64,51,44,30,28,24,24,14,19,19,10,8,9,PE
2006,13,74,143,101,82,90,96,65,72,53,49,39,29,18,21,20,8,20,PE
2007,70,237,499,177,96,118,116,86,66,61,42,37,33,34,24,28,20,24,PE
2008,115,370,700,342,166,173,167,121,92,122,75,78,59,46,38,30,22,32,PE
2009,28,82,96,69,39,50,33,35,30,20,24,9,13,15,17,7,7,8,PE
2010,264,459,1213,1015,333,332,296,249,230,208,180,138,120,114,80,80,50,56,PE
2011,148,455,720,681,370,295,244,225,205,194,165,132,125,124,86,68,49,67,PE
2012,114,294,364,321,247,213,181,180,161,161,128,110,118,87,80,47,39,78,PE
2013,42,63,118,75,66,62,47,54,38,35,24,32,22,23,22,26,14,19,PE
2014,52,66,100,75,58,62,48,36,27,37,30,25,22,24,13,13,9,18,PE
2015,146,211,175,129,95,114,83,78,78,89,69,87,87,82,107,89,99,182,PE
2016,328,370,262,210,72,67,76,62,72,84,107,102,95,106,147,135,175,278,PE
2017,40,128,108,56,20,10,20,8,14,17,15,12,7,6,6,9,11,9,PE
2018,87,164,329,190,95,49,38,35,34,33,39,25,29,14,19,13,11,15,PE
2019,124,177,573,402,148,79,68,65,56,38,47,41,31,36,38,24,23,29,PE
2020,41,59,139,109,26,24,18,17,19,20,8,9,7,12,12,10,6,6,PE
2000,1,3,17,27,57,53,34,42,33,30,33,35,21,16,23,20,8,3,PI
2001,4,14,41,81,148,145,104,104,89,78,67,72,56,38,43,39,19,18,PI
2002,10,23,76,214,384,443,380,381,292,235,239,237,192,151,119,82,60,46,PI
2003,15,66,129,340,721,726,639,612,547,463,397,370,343,276,215,175,126,113,PI
2004,3,13,31,60,130,128,116,77,75,68,65,68,45,55,45,27,27,28,PI
2005,4,44,75,150,336,364,278,274,248,232,187,172,152,146,99,84,71,72,PI
2006,9,40,99,159,277,309,249,205,170,202,147,153,132,117,102,63,51,50,PI
2007,36,129,271,288,404,387,357,300,236,241,227,201,195,116,124,98,79,85,PI
2008,12,68,91,135,182,193,159,122,114,82,80,75,72,53,35,27,26,33,PI
2009,15,53,105,161,240,249,222,185,150,133,140,112,109,88,81,63,42,38,PI
2010,42,93,208,248,328,361,328,268,207,222,192,155,162,117,92,79,52,61,PI
2011,32,103,179,237,309,302,270,200,217,133,157,142,110,79,77,63,42,45,PI
2012,19,75,128,212,278,261,219,178,172,143,122,124,102,93,70,57,42,44,PI
2013,20,46,67,104,190,144,123,151,102,94,88,88,68,65,39,33,23,33,PI
2014,20,63,95,109,172,129,116,123,99,78,68,70,76,50,36,49,16,28,PI
2015,14,50,66,95,111,110,96,93,75,67,78,69,51,54,52,36,41,45,PI
2016,13,28,49,47,77,63,60,67,45,35,49,45,41,39,36,25,23,24,PI
2017,12,18,42,41,44,46,45,40,36,33,29,40,30,22,20,16,25,34,PI
2018,3,4,10,11,24,17,16,18,19,19,10,18,15,16,11,10,20,8,PI
2019,12,25,73,87,76,57,55,51,55,51,41,41,39,32,40,26,16,26,PI
2020,0,9,10,15,10,9,2,10,8,6,6,3,6,6,5,4,2,4,PI
2000,0,1,2,2,2,5,3,3,4,3,3,0,4,0,1,0,1,0,RJ
2001,8,21,38,60,94,150,114,104,130,97,70,70,43,28,24,20,19,16,RJ
2002,77,480,810,769,729,886,783,737,730,650,492,440,306,217,206,172,111,126,RJ
2003,5,32,55,87,107,117,112,91,99,77,56,45,31,37,22,10,8,8,RJ
2004,1,7,11,16,17,26,12,11,13,12,8,7,8,3,4,3,6,1,RJ
2005,0,4,15,12,14,14,20,18,10,15,7,9,5,0,6,1,0,1,RJ
2006,5,20,63,98,90,98,93,63,71,57,47,38,31,20,16,15,6,3,RJ
2007,28,91,369,412,275,288,298,205,203,191,155,146,109,93,55,48,40,28,RJ
2008,542,713,3420,3497,1245,924,928,821,796,793,753,653,525,410,295,220,154,145,RJ
2009,27,100,167,154,95,91,74,69,66,61,56,55,33,27,14,15,17,13,RJ
2010,102,231,643,820,385,342,336,302,295,277,280,244,195,151,95,61,45,45,RJ
2011,304,660,1329,1943,890,650,531,523,446,425,457,397,325,285,191,152,110,116,RJ
2012,109,263,385,615,335,287,250,245,243,194,200,196,160,121,93,55,42,44,RJ
2013,83,158,269,416,365,325,279,339,284,266,263,242,243,176,140,98,89,115,RJ
2014,28,54,55,51,37,32,35,23,41,19,23,18,24,23,12,12,3,11,RJ
2015,51,100,194,240,204,208,192,187,173,168,178,175,141,128,110,81,71,94,RJ
2016,67,101,176,222,153,139,112,136,138,112,136,146,143,116,80,85,52,111,RJ
2017,16,33,31,27,21,27,21,15,16,12,16,15,16,16,9,7,8,8,RJ
2018,9,21,48,36,22,26,15,22,25,29,30,28,26,23,22,13,8,12,RJ
2019,14,34,35,43,29,29,23,28,34,31,34,44,39,46,41,27,26,47,RJ
2020,2,5,14,14,13,15,17,12,10,14,9,12,12,11,6,7,6,11,RJ
2000,1,2,10,27,58,54,56,63,54,46,39,35,33,34,21,13,9,17,RN
2001,5,22,44,115,272,286,282,277,260,213,188,157,132,127,102,92,63,59,RN
2002,8,44,83,210,365,382,354,374,330,267,248,231,199,173,142,117,107,114,RN
2003,7,53,121,215,354,334,330,282,276,210,194,181,151,126,111,77,76,79,RN
2004,7,28,40,62,109,89,95,81,83,53,47,49,43,44,31,25,33,19,RN
2005,4,17,39,67,122,118,107,76,92,79,65,61,50,43,30,26,22,28,RN
2006,2,21,52,51,89,79,68,66,70,50,50,39,34,28,21,11,18,18,RN
2007,27,96,174,126,107,111,97,93,59,80,53,46,41,25,15,18,20,23,RN
2008,143,437,1002,421,284,229,221,201,181,164,129,144,106,91,82,55,56,64,RN
2009,8,21,36,57,60,64,55,45,43,26,31,27,31,15,16,13,13,14,RN
2010,18,76,201,158,127,118,130,89,85,91,62,52,41,21,28,25,14,9,RN
2011,78,178,431,339,266,249,198,191,165,151,152,120,115,101,53,66,40,50,RN
2012,23,56,105,184,165,133,138,139,128,103,106,89,75,59,42,42,27,44,RN
2013,21,53,86,169,139,158,149,127,105,110,109,70,86,55,48,40,30,40,RN
2014,15,71,88,110,119,64,108,89,74,82,66,54,60,55,43,39,20,19,RN
2015,17,28,25,37,51,48,43,39,32,28,29,42,24,27,18,16,16,25,RN
2016,52,94,128,183,132,105,114,122,107,108,120,160,124,125,131,118,134,198,RN
2017,4,19,29,20,6,10,2,12,11,10,8,6,9,13,2,8,6,10,RN
2018,61,104,219,171,81,52,36,40,36,24,20,20,21,17,11,9,5,15,RN
2019,30,47,102,124,40,40,37,34,33,26,18,32,20,27,16,9,12,24,RN
2020,12,11,22,9,6,9,7,6,1,4,4,7,3,1,4,4,2,4,RN
2000,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,RS
2001,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,RS
2002,0,0,3,4,3,1,4,6,1,3,2,3,4,1,0,0,0,0,RS
2003,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,RS
2004,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,RS
2005,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,RS
2006,0,0,1,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,RS
2007,1,0,2,2,5,3,6,6,4,4,7,2,3,4,1,1,1,0,RS
2008,0,0,0,0,3,0,4,2,1,7,0,1,0,0,0,0,0,0,RS
2009,0,2,0,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,RS
2010,2,3,6,8,10,10,20,14,14,13,25,10,9,11,10,10,8,8,RS
2011,0,2,3,5,8,5,9,6,5,5,5,2,4,4,4,0,0,0,RS
2012,0,0,1,1,0,7,3,1,3,0,1,0,0,0,2,0,0,0,RS
2013,0,2,3,3,4,4,8,5,4,2,8,2,3,1,4,2,0,0,RS
2014,2,0,1,3,5,6,2,2,1,4,2,1,0,0,2,0,1,2,RS
2015,0,2,6,13,16,14,14,16,19,18,7,13,13,8,13,11,5,7,RS
2016,2,5,9,9,22,25,22,19,27,11,21,20,11,12,10,9,1,7,RS
2017,0,2,3,2,5,4,5,4,2,5,2,4,2,1,0,0,1,1,RS
2018,0,0,0,0,1,2,0,2,2,2,2,1,2,1,2,1,0,0,RS
2019,0,2,6,9,9,6,11,4,6,10,6,6,14,2,3,2,0,1,RS
2020,0,0,5,8,4,10,11,5,10,11,13,8,7,12,5,6,8,7,RS
2000,0,2,1,2,1,3,0,2,4,3,0,0,0,0,0,0,0,0,RO
2001,4,5,8,19,33,23,29,22,19,5,18,11,2,1,3,4,1,2,RO
2002,6,17,38,74,92,77,85,58,66,38,36,38,19,18,28,11,11,4,RO
2003,6,14,26,41,80,69,65,73,51,44,32,27,22,16,21,9,3,3,RO
2004,2,8,12,32,43,46,55,51,40,30,25,16,33,12,12,9,6,7,RO
2005,7,31,64,117,159,186,150,138,115,98,69,58,43,40,41,27,18,15,RO
2006,4,21,43,72,90,76,71,74,51,53,40,33,32,17,18,15,5,8,RO
2007,6,28,40,62,71,75,62,42,41,49,27,25,22,14,13,13,15,17,RO
2008,23,48,57,108,117,121,120,93,97,81,62,49,47,35,31,29,17,10,RO
2009,73,190,301,324,414,423,408,386,342,277,269,212,169,126,122,93,73,78,RO
2010,82,256,421,387,439,398,428,382,359,315,255,212,170,165,119,119,86,88,RO
2011,24,111,173,203,232,213,210,178,156,115,116,89,80,60,55,42,33,46,RO
2012,30,86,114,133,192,168,126,145,93,114,84,65,56,38,33,30,22,27,RO
2013,64,150,222,271,307,253,235,258,233,180,179,135,129,111,68,83,54,79,RO
2014,32,79,118,141,140,119,138,110,98,76,81,63,50,34,39,32,22,33,RO
2015,42,83,83,114,140,107,71,98,90,78,76,79,72,55,32,33,31,35,RO
2016,45,121,134,154,120,102,121,102,98,106,75,72,59,50,42,31,24,44,RO
2017,7,29,49,43,52,63,48,38,55,35,39,30,34,22,15,12,13,18,RO
2018,10,28,26,23,38,27,35,31,23,12,15,27,13,15,5,9,5,8,RO
2019,8,37,30,45,36,40,19,18,31,30,22,32,27,16,9,14,11,17,RO
2020,13,18,28,48,44,32,21,46,41,50,41,29,38,17,16,9,11,12,RO
2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR
2001,0,1,1,4,1,1,1,1,5,1,1,0,0,0,0,1,0,0,RR
2002,0,1,1,1,1,3,0,1,1,1,1,0,1,1,0,0,0,0,RR
2003,0,1,2,3,2,5,4,2,4,1,4,3,3,0,0,0,2,0,RR
2004,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,RR
2005,0,2,1,8,13,14,20,29,19,8,5,6,6,7,0,2,2,0,RR
2006,0,1,8,4,7,10,14,11,9,6,6,5,9,8,4,6,3,1,RR
2007,4,4,8,8,5,11,9,6,6,9,3,7,4,5,1,1,2,1,RR
2008,48,65,158,119,76,73,75,66,62,63,43,41,38,24,10,13,6,13,RR
2009,36,60,100,78,49,70,47,61,49,33,46,25,31,28,16,13,15,8,RR
2010,38,90,128,100,76,93,102,85,76,68,76,66,69,45,36,29,17,19,RR
2011,8,14,27,24,24,23,22,13,17,20,21,4,8,3,2,5,4,4,RR
2012,9,21,36,34,36,21,25,29,15,18,10,16,10,7,6,3,3,1,RR
2013,2,6,7,7,11,6,6,8,4,3,2,3,2,1,0,0,0,1,RR
2014,5,4,3,5,5,6,5,7,2,8,5,3,4,1,2,3,1,0,RR
2015,2,3,12,14,10,11,17,15,8,8,1,8,5,7,3,6,0,1,RR
2016,2,4,4,6,1,6,2,6,1,1,0,2,3,3,3,0,0,0,RR
2017,2,8,9,11,6,4,6,6,9,2,4,0,4,1,2,2,0,1,RR
2018,2,4,3,4,2,0,0,2,1,0,2,0,2,0,0,0,0,0,RR
2019,9,16,27,34,10,8,3,2,4,8,1,2,2,4,2,2,2,0,RR
2020,2,6,4,14,6,1,4,7,1,2,0,2,0,0,0,2,1,0,RR
2000,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,SC
2001,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,SC
2002,0,0,4,2,0,4,8,5,3,6,5,0,1,2,0,0,0,0,SC
2003,0,0,0,0,0,1,5,2,1,0,0,0,1,0,0,0,0,0,SC
2004,0,0,0,1,0,1,2,3,0,0,1,0,1,0,0,0,0,0,SC
2005,0,0,1,0,1,2,2,2,0,0,1,1,1,0,0,0,0,0,SC
2006,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,SC
2007,0,0,0,2,2,2,2,1,2,1,1,3,1,0,0,0,0,0,SC
2008,0,0,1,1,0,0,3,4,3,1,1,2,1,0,0,0,0,0,SC
2009,0,0,0,3,0,2,1,2,0,3,0,0,1,0,0,0,0,0,SC
2010,0,0,1,2,0,4,7,2,4,5,2,2,3,2,1,0,0,0,SC
2011,0,0,1,0,1,3,2,6,5,2,3,0,1,2,0,0,0,0,SC
2012,0,1,0,0,3,0,1,3,2,1,2,0,2,0,1,0,0,1,SC
2013,1,0,3,2,5,7,2,2,3,4,3,1,1,3,0,0,0,0,SC
2014,0,2,1,1,0,1,1,1,1,1,2,2,2,0,0,0,0,1,SC
2015,2,1,5,14,11,11,17,19,5,11,8,9,2,5,2,2,0,1,SC
2016,1,7,9,21,46,53,46,37,26,32,25,30,29,19,19,18,9,9,SC
2017,0,3,6,2,4,3,7,9,8,3,4,0,1,0,2,2,0,0,SC
2018,0,2,1,0,4,2,6,2,2,1,0,1,3,0,0,0,0,1,SC
2019,0,0,7,11,16,10,11,17,16,13,9,8,6,7,5,2,1,1,SC
2020,1,5,9,17,11,12,21,16,9,14,15,13,14,8,7,5,2,2,SC
2000,2,0,2,1,9,6,6,5,7,3,9,7,5,2,1,0,0,0,SP
2001,3,12,20,30,50,50,55,49,41,34,30,18,16,14,18,12,11,6,SP
2002,8,18,48,112,139,140,139,116,96,90,73,57,41,34,26,19,10,15,SP
2003,4,14,39,51,98,133,126,109,87,75,55,46,31,23,19,10,2,0,SP
2004,3,15,14,17,26,46,29,24,26,23,16,9,8,9,1,5,0,3,SP
2005,4,3,16,22,42,52,44,53,38,19,24,18,9,11,9,8,5,1,SP
2006,12,42,97,136,152,195,180,120,128,117,86,82,48,42,33,23,28,25,SP
2007,31,78,198,365,458,457,480,370,329,299,267,208,155,170,144,115,115,77,SP
2008,21,44,93,90,92,117,117,97,74,67,65,34,31,21,21,12,9,10,SP
2009,14,26,33,65,73,93,111,94,71,83,65,55,33,26,17,18,11,8,SP
2010,112,187,665,616,481,515,518,480,438,429,384,348,310,256,250,201,133,137,SP
2011,45,102,234,290,302,314,319,271,246,227,211,214,146,121,97,75,86,78,SP
2012,27,41,63,119,103,113,124,98,84,85,79,66,60,39,21,28,16,22,SP
2013,51,99,243,328,358,295,368,337,313,315,271,279,216,188,156,134,120,133,SP
2014,58,122,259,405,343,319,368,327,307,282,291,282,243,208,196,147,102,131,SP
2015,198,351,697,1141,1148,1004,947,950,873,892,911,938,919,857,801,711,592,766,SP
2016,136,179,320,356,357,315,313,309,282,276,327,282,298,274,216,196,140,183,SP
2017,36,68,80,77,71,65,73,65,69,49,42,35,39,24,22,14,13,18,SP
2018,21,57,65,59,56,86,59,88,79,56,62,71,75,47,36,35,27,27,SP
2019,120,172,433,522,442,598,607,668,776,732,754,808,859,827,647,565,459,568,SP
2020,80,116,209,238,197,279,287,319,372,387,385,404,464,411,332,373,242,362,SP
2000,2,6,8,39,65,61,68,53,26,37,30,24,18,19,15,6,7,10,SE
2001,0,0,12,34,71,90,88,64,67,43,39,30,20,15,14,15,12,14,SE
2002,0,10,43,71,94,127,116,98,81,64,53,51,52,33,31,18,4,24,SE
2003,4,16,52,136,179,190,159,128,141,113,88,55,53,55,34,22,26,23,SE
2004,0,7,8,16,32,40,35,31,14,12,15,11,10,5,7,6,1,6,SE
2005,1,7,8,14,15,31,22,14,13,11,8,8,7,5,3,4,7,2,SE
2006,1,2,14,19,43,21,19,22,16,16,21,11,7,5,8,4,0,2,SE
2007,1,4,7,16,17,20,20,20,21,11,7,4,4,4,1,3,2,3,SE
2008,82,273,683,307,161,154,146,94,110,85,55,51,37,23,23,22,19,17,SE
2009,8,33,27,28,29,25,19,28,17,8,10,13,3,5,7,2,2,1,SE
2010,8,20,45,28,26,31,19,14,9,6,9,7,2,4,0,5,2,3,SE
2011,22,93,164,112,54,60,34,33,21,25,9,21,9,7,5,4,8,4,SE
2012,20,72,106,95,35,37,27,16,18,20,13,14,9,7,13,6,2,4,SE
2013,8,20,24,26,14,12,5,4,8,1,1,3,5,0,1,6,0,5,SE
2014,6,23,34,21,11,8,9,18,7,11,5,4,3,4,5,5,1,5,SE
2015,7,23,33,29,14,22,18,11,20,11,14,6,6,11,7,11,9,5,SE
2016,5,16,17,18,6,7,2,2,7,4,5,2,3,1,2,5,2,2,SE
2017,1,10,9,5,0,2,0,1,2,0,1,2,0,0,0,1,1,0,SE
2018,1,3,4,2,1,2,1,1,0,1,0,1,0,0,0,0,0,1,SE
2019,47,116,415,257,95,44,40,23,28,23,16,16,14,10,12,9,12,6,SE
2020,5,17,34,17,5,1,3,3,0,0,3,0,2,4,2,1,0,0,SE
2000,0,1,4,6,10,10,15,8,5,5,2,7,2,3,0,3,1,2,TO
2001,2,7,10,27,39,47,46,46,37,38,18,21,22,15,4,8,6,5,TO
2002,1,12,14,22,40,44,33,25,29,23,28,15,11,12,10,9,5,9,TO
2003,2,13,17,26,31,28,24,17,30,11,11,18,13,8,8,5,2,1,TO
2004,1,11,28,40,39,34,37,29,34,16,24,10,12,8,12,15,5,2,TO
2005,5,9,23,45,35,65,53,35,45,22,33,19,16,9,14,10,6,13,TO
2006,4,14,31,52,57,54,59,40,42,28,17,22,13,6,9,8,10,6,TO
2007,11,53,96,143,150,161,118,128,88,82,65,52,39,41,37,23,15,22,TO
2008,41,93,157,158,118,113,99,84,67,58,72,59,37,36,23,23,13,14,TO
2009,21,69,92,117,114,87,85,79,62,56,47,52,32,17,21,12,16,16,TO
2010,40,58,119,120,158,133,103,108,86,67,74,49,44,38,31,27,21,31,TO
2011,38,63,91,111,119,93,89,77,61,71,60,42,44,28,26,26,17,18,TO
2012,26,43,113,130,122,82,109,68,67,64,71,47,46,30,20,22,16,15,TO
2013,14,44,64,108,121,96,96,68,86,64,71,73,50,40,31,22,16,21,TO
2014,8,46,62,75,85,48,48,68,39,49,45,42,29,23,29,13,14,13,TO
2015,3,31,42,42,69,34,33,49,34,28,31,25,13,23,11,12,9,10,TO
2016,12,33,34,30,46,25,30,21,35,29,21,12,18,10,12,17,8,7,TO
2017,7,28,40,37,27,21,14,14,18,18,20,16,13,9,2,11,6,9,TO
2018,10,12,25,20,14,12,9,15,7,15,12,7,5,12,4,0,1,4,TO
2019,30,42,74,59,51,40,35,36,39,33,37,19,23,19,26,11,9,14,TO
2020,10,7,11,8,9,11,3,5,8,7,5,8,6,5,2,4,1,4,TO
