year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80,code
2011,56,127,385,577,174,123,105,105,76,72,69,61,59,37,22,12,8,14,AM
2012,11,39,41,71,23,8,10,6,8,6,6,4,5,0,1,2,0,2,AM
2013,26,42,48,154,49,33,36,30,21,10,13,11,15,6,7,1,3,2,AM
2014,9,10,20,34,18,20,18,11,10,17,10,6,7,6,5,2,5,3,AM
2015,7,31,25,51,29,31,20,21,20,12,20,12,10,10,9,7,6,3,AM
2016,6,23,29,44,38,19,15,17,12,10,12,11,5,12,4,1,2,12,AM
2017,4,9,7,22,10,13,5,6,3,13,7,3,7,3,1,1,2,2,AM
2018,6,6,11,10,10,3,1,3,3,3,1,0,1,2,1,0,0,1,AM
2019,4,7,18,25,22,16,12,8,11,3,7,5,7,6,7,2,5,6,AM
2020,4,25,64,91,21,23,17,10,8,14,8,8,4,7,4,3,2,5,AM
2000,1,11,22,43,99,125,98,112,91,84,50,57,48,41,35,28,22,29,BA
2001,6,39,72,161,289,321,265,266,241,203,147,185,124,112,78,67,53,67,BA
2002,45,221,360,683,1172,1198,969,837,739,630,527,462,383,307,235,187,139,195,BA
2003,58,289,495,877,1668,1633,1428,1150,1064,929,855,712,626,516,457,333,265,294,BA
2004,11,66,135,290,586,580,470,358,309,253,241,199,201,144,103,114,69,99,BA
2005,12,83,168,306,585,594,541,427,389,299,282,259,193,181,121,115,95,90,BA
2006,7,76,123,214,357,380,289,237,228,154,149,133,121,98,79,61,50,58,BA
2007,10,69,142,262,446,474,413,309,261,223,194,170,138,115,100,64,60,84,BA
2008,88,393,830,740,842,888,780,558,535,404,379,338,234,189,158,124,105,111,BA
2009,281,1047,2455,2023,1668,1657,1459,1179,995,920,795,664,541,431,336,273,171,259,BA
2010,164,593,1239,1418,1262,1164,1014,836,704,640,534,505,379,324,255,200,119,158,BA
2011,135,466,767,1008,1086,930,886,765,581,551,471,375,314,292,227,165,129,157,BA
2012,135,517,821,1261,1247,1093,971,923,727,627,549,444,328,294,208,155,114,151,BA
2013,90,395,605,858,1133,942,931,826,682,564,532,417,371,282,247,208,134,197,BA
2014,42,184,222,268,383,309,314,263,240,204,216,151,132,85,60,77,37,52,BA
2015,114,427,507,677,793,606,602,625,622,501,485,475,380,331,282,242,207,307,BA
2016,124,510,580,716,809,640,552,557,552,532,520,529,455,348,364,345,310,432,BA
2017,35,125,151,183,185,158,100,134,126,87,81,85,72,64,70,71,39,68,BA
2018,25,110,83,94,80,80,66,76,73,57,52,65,52,37,33,31,39,38,BA
2019,82,262,534,506,439,354,266,246,254,214,193,161,131,106,98,65,61,74,BA
2020,78,237,371,346,308,256,188,172,153,132,109,99,99,93,74,67,48,82,BA
2000,0,6,9,10,9,7,5,6,7,8,7,7,7,5,3,2,0,0,CE
2001,7,23,48,96,122,136,125,132,114,72,104,83,73,80,52,44,40,37,CE
2002,14,83,133,156,253,254,262,205,192,171,160,186,129,112,103,82,68,62,CE
2003,35,200,372,512,632,596,502,444,405,318,311,298,232,226,169,157,137,136,CE
2004,9,40,75,118,169,197,154,139,120,91,87,78,72,65,58,56,45,42,CE
2005,35,242,424,531,643,611,468,448,387,330,256,267,218,188,181,126,115,106,CE
2006,26,162,311,469,502,441,384,305,314,261,200,188,170,128,113,87,74,101,CE
2007,75,325,688,630,653,614,536,478,393,365,299,250,223,202,170,121,116,141,CE
2008,189,734,1533,1206,768,644,608,544,460,454,380,321,271,206,182,128,97,150,CE
2009,51,148,217,251,242,200,181,138,129,105,81,82,63,58,53,47,24,42,CE
2010,123,417,713,720,612,501,443,368,318,274,243,205,193,169,122,130,96,87,CE
2011,189,614,1137,1221,960,702,635,566,484,432,400,317,275,230,211,195,123,183,CE
2012,105,284,420,768,553,335,264,238,186,155,150,112,112,87,70,59,49,74,CE
2013,69,224,300,453,436,279,245,248,187,145,153,130,120,91,89,84,78,102,CE
2014,101,202,284,412,376,286,243,207,205,171,164,152,121,103,89,58,54,85,CE
2015,170,435,638,892,697,494,456,424,345,313,297,268,237,218,176,144,132,161,CE
2016,131,311,380,408,383,163,187,152,128,110,116,139,118,107,110,111,84,153,CE
2017,97,186,222,256,204,81,98,73,63,66,68,58,56,52,58,39,51,92,CE
2018,26,96,100,72,79,41,20,41,24,25,23,20,19,14,8,11,4,9,CE
2019,46,142,223,238,205,117,77,97,94,59,89,67,48,54,49,43,38,46,CE
2020,80,122,286,320,194,109,62,65,50,63,73,52,38,31,35,23,16,24,CE
2000,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,DF
2001,0,2,1,0,4,1,4,3,2,4,3,1,1,1,0,0,0,0,DF
2002,0,1,1,2,9,14,10,20,19,12,7,7,5,1,4,1,0,1,DF
2003,0,1,2,12,8,11,17,11,10,11,4,4,4,3,2,1,0,0,DF
