year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,24,81,169,346,423,2198,1182,117,78,64,12
2002,121,323,636,1247,1967,7650,4092,412,267,319,56
2003,178,405,1004,1912,3259,13341,6773,742,539,536,134
2004,17,33,87,224,419,1536,886,88,64,79,17
2005,30,45,123,200,276,1115,696,63,53,45,14
2006,74,103,281,590,914,4191,2584,268,160,202,55
