year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,38,153,307,545,735,2158,1240,214,118,150,55
2002,99,189,393,697,937,2880,1740,240,194,164,48
2003,81,161,304,546,685,1961,1159,150,110,104,47
2004,22,31,50,103,144,523,314,40,26,29,10
2005,40,95,223,340,507,1499,847,112,91,88,34
2006,78,221,338,302,415,1225,664,97,51,66,17
